"country","unweighted_N","unweighted_deaths","unweighted_mortality","weighted_deaths","weighted_total","weighted_mortality"
"bangladesh",51861,3640,7.01876168990185,3567.55813151097,51782.2321022009,6.88954103884475
"india",1049402,63552,6.05602047642372,65146.7180064057,1050189.03418888,6.20333253210194
"nepal",22416,1670,7.45003568879372,1522.11757064942,22317.5199976921,6.82028097569453
"pakistan",31571,2876,9.10962592252383,4042.58904426503,38386.7422284192,10.5312115839623
