"effect","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","(Intercept)",0.158534703742446,0.00716170018355586,-40.7705318528006,0,0.145101492556706,0.173211535235469
"fixed","mat_eduprimary",0.880305726040127,0.0129249301347778,-8.68296142477104,3.85595191939637e-18,0.855334350062935,0.90600613811665
"fixed","mat_edusecondary",0.693766842746121,0.00980859957857828,-25.8604269261841,1.85739186563523e-147,0.674806256049013,0.713260180650967
"fixed","mat_eduhigher",0.494779053464002,0.0188177390135677,-18.5010695778302,2.02416838341073e-76,0.459238075917491,0.533070589274738
"fixed","mat_edubasic",0.778560253110971,0.0676704343919771,-2.87984786623489,0.00397867106229243,0.656610769873555,0.923158887328255
"fixed","wealthpoorer",0.889722913437915,0.0127626207861843,-8.14565062140722,3.77247926232879e-16,0.865056998246765,0.915092143408842
"fixed","wealthmiddle",0.807358505797907,0.0131993281089115,-13.0888934631036,3.81119561436018e-39,0.781898386099022,0.833647656105636
"fixed","wealthricher",0.717277148498342,0.0137738855692703,-17.3042062584718,4.37265759210145e-67,0.69078254796975,0.744787935465391
"fixed","wealthrichest",0.655259564949303,0.0159781591845927,-17.3357791690354,2.52620310431581e-67,0.624679520230138,0.687336599892642
"fixed","residencerural",1.06843766264488,0.0196204533248279,3.60480213525717,0.000312390838234863,1.03066609837063,1.10759346869247
"fixed","birth_order",1.05727271760498,0.00400418797535573,14.7051927500996,5.97006887589559e-49,1.04945370927443,1.06514998185547
"fixed","birth_int",0.974271388865462,0.000361050822331124,-70.3356790809886,0,0.973563999188853,0.97497929253001
"fixed","child_sexfemale",0.979848130925015,0.0100108105068113,-1.99259014023331,0.0463063457288153,0.960422445395972,0.999666724033512
"fixed","countryindia",0.686863570995828,0.0253349115760717,-10.1835530104265,2.34827330174236e-24,0.638960451055805,0.738358006949536
"fixed","countrynepal",0.836942472794206,0.054737028223356,-2.72166238627406,0.00649544639343755,0.736251206542058,0.951404488770594
"fixed","countrypakistan",0.897578988221936,0.0496412698464773,-1.95376020638228,0.050729582403072,0.805371666012869,1.00034316340679
